Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Benchmarks\EffectsBenchmarks\EffectsBenchmarks\EffectsBenchmarks.fsproj,File,test\Benchmarks\EffectsBenchmarks\EffectsBenchmarks\EffectsBenchmarks.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,File,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,File,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,,,Microsoft.Extensions.Logging 9.0.0,,,,,"Microsoft.Extensions.Logging, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,File,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 9.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,File,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,test\Benchmarks\EventStoreBenchmarks\EventStoreBenchmarks.csproj,File,test\Benchmarks\EventStoreBenchmarks\EventSourcedRepositoryBenchmark.cs,242,12,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.AddMediatR(cfg => cfg.RegisterServicesFromAssemblyContaining<Program>());
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Application\NBB.Application.DataContracts\NBB.Application.DataContracts.csproj,File,src\Application\NBB.Application.DataContracts\NBB.Application.DataContracts.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Application\NBB.Application.DataContracts.Schema\NBB.Application.DataContracts.Schema.csproj,File,src\Application\NBB.Application.DataContracts.Schema\NBB.Application.DataContracts.Schema.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\UnitTests\Application\NBB.Application.Effects.Tests\NBB.Application.Effects.Tests.csproj,File,test\UnitTests\Application\NBB.Application.Effects.Tests\NBB.Application.Effects.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\UnitTests\Application\NBB.Application.Effects.Tests\NBB.Application.Effects.Tests.csproj,File,test\UnitTests\Application\NBB.Application.Effects.Tests\NBB.Application.Effects.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Application\NBB.Application.Mediator.FSharp\NBB.Application.Mediator.FSharp.fsproj,File,src\Application\NBB.Application.Mediator.FSharp\NBB.Application.Mediator.FSharp.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\UnitTests\Application\NBB.Application.Mediator.FSharp.Tests\NBB.Application.Mediator.FSharp.Tests.fsproj,File,test\UnitTests\Application\NBB.Application.Mediator.FSharp.Tests\NBB.Application.Mediator.FSharp.Tests.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
